,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_CaudoPutamen,BG_NucleusAccumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,CBL,BST
OCC_Medial,5.672790739317822e-05,0.009603119525904208,0.028649498583849232,0.07226088298682143,0.1366840825197397,0.0020289152881967,0.46490917195561937,0.6403869561040918,0.017588378066229062,5.053230967646627,56.78845419144957,0.0,0.0003107179900339102,0.004111609188578955,0.0008309098462816784,0.0,0.027087517870178147,2.7040892128901306,0.7700240254155313,0.06822681619930089,0.003660192566523284,0.0023866306989266776,6.685214659357705,0.031107640819412974,0.06774516467888815,4.2983611354989756e-05,2.3136009481994364
INS_Anterior,0.3547444844446361,0.050009193866410714,0.18888263734012795,0.08676647369761586,4.764766776719467e-05,0.0008268742757458221,0.0015574226762839678,2.7239444314298056e-05,0.041961163884354086,0.0,0.0,3.4812717718255106,0.23381002539634424,0.0019093369702382593,0.004183755913529975,0.2325057632438282,2.682880964653626e-06,0.0,0.5503091294615134,0.02478396841156937,0.01500676932905148,0.0029340056304781605,0.2945024176832783,0.0014369024598394557,0.006176740332401972,0.0,0.010452757416015436
INS_Posterior,0.09993138824969039,0.01739626917316568,0.006293279668330793,1.1454956407690666,0.03183457206414179,0.0892174345382903,0.07677373524794717,0.0023660791533449666,0.3880320700973634,0.0,0.0,0.42901877497576135,2.787464518616569,0.0021337459639399078,0.16064539055933924,0.49247291286280415,2.8924673209042084e-08,0.0,1.1421853992795314,0.04218424310158091,0.04257597450415655,0.010771249917447417,0.18498247672330345,0.006259073316046083,0.02112289381931254,0.0,0.02234709918603615
OLF_Anterior,3.073049956047088e-08,0.017891306252232286,0.4992524329807111,0.0,0.0,8.604539876931848e-07,1.459698729122367e-06,0.0,0.42534363457703966,0.0,5.944296438645871e-05,0.011583868094234563,1.3586439792250905e-06,8.538465148651124,0.12916446230283476,0.013225363777646873,0.02581771284049142,1.3642647564105277e-05,0.05447753695107645,0.2783527051354763,0.00012037500813082881,0.00034800330933776194,0.0015826215116583509,0.004347605275477644,0.00011502337361242546,0.0,0.00019424402819702573
OLF_Piriform,1.2599504819793063e-06,0.0001423744044636616,0.401145718597719,0.001500336568577111,0.0,0.0017656357988372479,0.19869668203095728,0.0031302547834757884,0.5187542394993581,0.0,0.0,0.08346119256193836,0.1749358958848708,0.0660375935728456,2.1575747409074424,0.858152535437321,1.0587268634390071e-05,1.626488818157478e-06,0.14342888302319687,0.036214547431496755,5.453722085845088e-05,1.7009331506720633e-05,0.0004556269374518261,7.860026640305051e-05,4.4098266869275725e-05,0.0,0.0
OLF_Claustrum,0.09452710494810015,0.00188991111502336,0.007387462325926212,0.029926926547567415,0.00016029896047658392,0.01252538038359232,0.21858059583566378,0.01832748783053112,0.5059589064070457,0.0,0.0,0.38165500822552145,0.45326806991589125,0.02321126516015864,1.3245004489340495,1.305886518910164,4.241705140387943e-05,4.6831279031032705e-06,0.3008351810905342,0.020977543150433618,0.002597807474080617,0.0009809419224045303,0.052175216755306474,0.0005217250786698696,0.00158526301233591,0.0,0.0008961003779863652
CIN_Anterior,0.02218932920013463,1.9957584754807944,1.2222031135686768,0.011351707162172804,1.2154628482526146e-06,0.0,3.797901399504247e-05,0.025133914935751317,0.0359901620575174,0.004483430281951666,0.03300256602695031,0.0014845097914345335,2.4239763231766307e-05,0.024283700232021643,0.00029034774288579725,0.002064668231278645,18.95609458586434,0.10491150935749474,2.4141783347676244,0.028930568431303597,0.0026045510188259045,0.0004093507363554179,2.332731433414334,0.05353994457180322,0.18905152486678173,0.0,0.13823244875322271
CIN_Posterior,0.0039375295729702315,0.05148140225715063,0.008552754170536941,0.048735295209277885,0.0014195157292443681,0.0005551237771844929,0.0059403747072721644,0.21917443443543067,0.005036679537326711,0.2971022847483733,2.4600531791550373,0.0024060214379775734,0.0013349306335519726,0.00029831605435547007,0.0004126094399891176,2.0093547635604137e-05,0.2463858455987817,15.043424402872459,0.14725761222461645,0.011399770878004273,0.004423359876950363,0.007443037478497358,1.654706663533005,0.06939538433433047,0.05246843507672311,3.45609677867265e-08,0.504767140129629
BG_CaudoPutamen,0.1816994023758834,0.012669503443188061,0.005064634767118473,0.697622198052447,0.0900693425286056,0.08651482253262069,0.020881863338115952,0.0013339356794486593,1.3919333263246563,0.0,0.0,0.09215881086791851,0.5149886694231948,0.0021558148042619524,0.10332657321136195,0.16405331201406592,8.484698859872246e-05,0.0,21.622609447665052,0.4224766173404991,2.7000233818854493,2.545521440007089,0.06924536874645854,0.054816145787479384,0.08952606234392704,0.0,0.006145403468094156
BG_NucleusAccumbens,2.1729418554388348e-05,0.0019288231755695468,0.020861398284471106,0.0,0.0,0.0,0.0001390663978162369,0.012056057483152237,1.7791100842966596,0.0,0.0,0.00017496842666801706,5.699570305832412e-05,0.3001176129847577,0.02363947834888921,0.005582663111643051,0.0004704491293073351,0.0003144226077782662,0.3776933231216609,3.2336102471170745,0.003814232356576192,0.12717290264257203,0.007761131550023357,0.6597611252889747,0.0009492244510902732,0.0,0.038929619918018014
BG_Pallidum,7.243139518129448e-06,0.0,0.0056657223796034,0.009521875259917816,0.0,0.0003444354463980912,0.0,6.745264297489389e-06,0.22227046549955548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3301055492534455,0.00014677725461644366,0.7879072994764804,0.11391243212541072,0.0947858734303216,0.11977039152560841,0.3135623081531222,0.0,0.02646489547569568
BG_Substantia_Nigra,0.0,0.0,0.0,0.013062633996482238,0.0038289348991587158,0.0010183125149652807,0.0,0.000863513466995579,0.01835919897283538,0.0,0.0007732640416733509,0.0,0.00017343290248929266,0.0,0.0,0.0,0.0,0.008411616057147778,0.44930034176123745,0.006096030097925443,0.018047980458812327,1.2568214752980618,0.0687068532976727,0.014854403023034259,0.06705342789883281,5.1031606672519756e-05,0.5824721722012225
THL_Thalamus,0.5170408525981981,0.48895421428885816,2.572035810690929,2.74209082251518,1.5546890000599607,0.011896613569004864,0.10915803914464,2.704342087964804,0.17149569980915144,0.9322238238823009,4.257597213023402,0.7517862786718522,0.5191788253030274,0.04343175152548998,0.006546298501028789,0.012438474325698628,2.2839559232315616,1.7490669352360992,2.569083278699502,0.8087288170142618,0.030907520022844664,0.003152313086685339,37.635571901956716,0.08304182877117273,0.30243329263197516,1.3718173836698857e-05,0.38332467434655787
THL_Hypothalamus,0.00849135526663545,0.015829714897244686,0.1547727150083081,0.10795531450670393,0.0034465922155134106,0.019724329584385778,0.024970906235466182,0.26963884856133813,2.081885533719123,1.1776048294987184e-06,0.0,0.0636954580595823,0.038316795616128184,0.019330473642392255,0.018242743317002305,1.5232205465699907e-05,0.06432717189046662,0.10009698630479921,0.04276698089786736,0.061733194024418285,0.11222244739821412,0.19215780116415127,0.6920470592744072,44.39944036685273,0.7108050245513114,0.0,0.7076774406207907
THL_Subthalamus,0.025648299442174876,0.008933190846947549,0.048145837249798054,0.09257926704929713,0.0003300546458497813,0.0008606129533839005,0.004699321385244934,0.006536295418909738,0.144076791905592,1.7726051644033339e-06,0.012454950104980196,0.0035815554456785073,0.02460657677087605,0.0009752150215153905,0.0014531279151020434,2.9816231975412587e-05,0.04578368412465389,0.0064966986005452814,0.015825872793355338,0.02207277388126484,0.13172847247455913,0.3251204703139071,0.16573134414210086,0.6445536477543874,2.0507317895857917,2.5607257828504533e-06,0.8835257757796425
CBL,0.0,0.0,0.0047754329004329,0.0,0.0,0.0,0.0,0.0,3.277573612254848e-06,0.0,0.0,0.0,0.0,0.0,0.0037060286342016947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926136774500291,0.0,0.0044809366330855645,25.920856590504727,1.3242972408072289
BST,0.0,0.0,0.0,0.01820909328515761,0.12094692796968841,0.005624975848045362,0.012675197548498569,0.34311965784734955,0.4717802598013038,2.894351113944899e-05,0.08266736030748095,0.0,0.0011011441329722845,0.005376344086021506,0.0005311571983872135,0.0,0.0,0.5946478389806558,1.2943732271056696,0.6110671686272094,0.021671536913401235,0.15313605572945402,1.0864371307283167,0.34725317625334967,0.3236193893943712,1.8853124091607731,122.8203864727072
