source__target,mouse,marmoset,rhesus,human
TEM_Amygdala__FRO_Premotor,0.679250484,0.614852893,0.624696461,0.729512192
OCC_Lateral__TEM_Inferior,0.684246722,1.049274448,1.032352998,0.709326155
BG_CaudoPutamen__FRO_Prefrontal,0.689249409,1.094999442,1.083483652,0.916991304
OLF_Piriform__BG_Accumbens,0.69425862,0.760007241,0.600128219,0.271110084
CIN_Posterior__BG_Accumbens,0.69927443,0.734576366,1.213577983,0.92776225
FRO_Premotor__BG_Accumbens,0.704296916,0.8955744,1.189332534,0.853217058
OCC_Lateral__BG_Accumbens,0.709326155,0.69927443,1.43269982,1.077747257
INS_Anterior__THL_Thalamus,0.714362224,0.191654538,0.679250484,0.987792273
INS_Anterior__BG_Pallidum,0.7194052,0.289848921,0.483882037,1.060622313
OLF_Anterior__OCC_Medial,0.724455164,0.982277452,0.575691066,0.52235026
OLF_Piriform__THL_Thalamus,0.729512192,0.916991304,0.689249409,0.760007241
OLF_Piriform__TEM_Hippocampus,0.734576366,1.060622313,0.464739354,0.689249409
OLF_Piriform__PAR,0.739647765,0.749812563,0.556230151,0.624696461
TEM_Amygdala__TEM_Medial,0.74472647,0.59523057,0.709326155,1.043620723
OLF_Anterior__TEM_Amygdala,0.749812563,0.679250484,0.837488517,0.37451243
OLF_Piriform__OLF_Anterior,0.754906126,0.649404327,0.261748414,0.289848921
TEM_Inferior__TEM_Hippocampus,0.760007241,1.118207253,1.072024999,0.724455164
TEM_Amygdala__FRO_Precentral,0.765115991,0.624696461,0.790777242,0.82704783
TEM_Amygdala__FRO_Prefrontal,0.770232462,0.644451166,0.832263736,1.037980285
OCC_Medial__INS_Anterior,0.775356736,0.459962563,0.629626587,2.25046799
TEM_Hippocampus__TEM_Inferior,0.780488901,1.153478369,1.089234331,0.739647765
TEM_Superior__INS_Posterior,0.78562904,0.879617747,1.288094407,1.667029295
OLF_Piriform__TEM_Medial,0.790777242,1.089234331,0.503084394,0.609939313
INS_Posterior__THL_Hypothalamus,0.795933594,0.78562904,1.060622313,0.765115991
INS_Anterior__FRO_Premotor,0.801098183,0.17298458,0.61977192,0.590338097
TEM_Amygdala__CIN_Anterior,0.806271099,0.639503869,0.541683547,0.965803701
BG_CaudoPutamen__INS_Posterior,0.811452431,0.816642269,1.009972689,0.770232462
FRO_Precentral__BG_Accumbens,0.816642269,0.674260619,1.177314061,0.821840705
TEM_Superior__TEM_Amygdala,0.821840705,0.801098183,1.118207253,1.405548248
CIN_Anterior__INS_Anterior,0.82704783,0.365072342,0.639503869,1.575222331
BG_Accumbens__THL_Thalamus,0.832263736,0.517527627,0.729512192,0.507894755
BG_CaudoPutamen__CIN_Posterior,0.837488517,1.066316733,1.037980285,0.847965083
TEM_Inferior__TEM_Medial,0.842722268,1.189332534,1.112382887,0.749812563
THL_Hypothalamus__TEM_Superior,0.847965083,0.536843688,0.890245592,1.531192685
TEM_Medial__INS_Posterior,0.853217058,0.965803701,1.352434719,1.201420012
INS_Posterior__INS_Anterior,0.85847829,0.322700303,1.13577221,0.96033562
BG_CaudoPutamen__CIN_Anterior,0.863748876,1.072024999,0.85847829,0.869028914
BG_CaudoPutamen__TEM_Hippocampus,0.869028914,1.171330248,1.066316733,0.976774497
CIN_Anterior__BG_Accumbens,0.874318504,0.832263736,0.998858005,0.922371479
OCC_Medial__BG_Accumbens,0.879617747,0.90091327,1.372172808,1.129901754
OLF_Piriform__FRO_Precentral,0.884926742,1.032352998,0.52235026,0.556230151
BG_CaudoPutamen__OCC_Lateral,0.890245592,1.015548704,0.971283286,0.874318504
TEM_Amygdala__PAR,0.8955744,0.821840705,0.933163727,0.998858005
THL_Thalamus__INS_Anterior,0.90091327,0.507894755,0.724455164,2.560776179
TEM_Medial__BG_Accumbens,0.906262307,0.775356736,1.887002385,1.392124612
OLF_Anterior__THL_Thalamus,0.911621616,1.195367555,0.739647765,0.585450732
INS_Anterior__PAR,0.916991304,0.20566087,0.734576366,0.790777242
OLF_Anterior__PAR,0.922371479,0.987792273,0.634562366,0.450419231
TEM_Amygdala__CIN_Posterior,0.92776225,0.634562366,0.816642269,0.949433508
THL_Hypothalamus__FRO_Premotor,0.933163727,0.754906126,0.770232462,0.933163727
TEM_Hippocampus__BG_Accumbens,0.938576021,0.806271099,2.000986811,1.495365476
TEM_Amygdala__TEM_Hippocampus,0.943999243,0.689249409,0.82704783,1.22580797
INS_Anterior__BG_CaudoPutamen,0.949433508,0.445652574,0.704296916,1.446432606
PAR__BG_Accumbens,0.954878928,0.92776225,1.460273418,1.072024999
TEM_Amygdala__OCC_Lateral,0.96033562,0.605031111,0.765115991,0.971283286
FRO_Premotor__INS_Anterior,0.965803701,0.318002172,0.780488901,1.378799298
CIN_Posterior__OLF_Anterior,0.971283286,1.124046822,0.7194052,0.570818633
BG_CaudoPutamen__OCC_Medial,0.976774497,1.219683878,1.106573567,0.982277452
THL_Thalamus__BG_Accumbens,0.982277452,0.993319083,1.628134062,1.207490092
TEM_Medial__TEM_Inferior,0.987792273,1.339391155,1.219683878,0.863748876
CIN_Posterior__THL_Hypothalamus,0.993319083,0.976774497,1.02113734,0.938576021
OCC_Lateral__OLF_Anterior,0.998858005,1.054941599,0.69425862,0.56108824
FRO_Precentral__OLF_Anterior,1.004409165,1.231950458,0.69927443,0.488676883
INS_Posterior__TEM_Superior,1.009972689,1.147560351,1.398823996,1.269203029
